prompt,completion
Microsoft,"Thank you for applying for the position of Product Design: Intern Opportunities for University Students 1375797 at Microsoft. We appreciate your interest in a career at Microsoft. Unfortunately, you haven’t met the requirements for this position. We know it isn’t always easy to put yourself out there—and although this job isn’t the right one for you at this time, you may qualify for a number of other positions. We encourage you to continue exploring other career opportunities on Microsoft Careers as we continually update openings on a daily basis. We look forward to considering you for other positions at Microsoft.
 
Thank you,
Microsoft Recruiting"
PlayStation,"Thank you so much for your interest in interning at PlayStation. We sincerely appreciate you taking the time to apply. Unfortunately, the team has decided not to proceed with your candidacy for the Machine Learning Engineer Intern position this summer.
Although this particular position was not a match, please consider applying for future internship opportunities that are posted on our careers website. 
If you have applied to multiple positions at PlayStation, please note that you may receive a separate update for each position that you’ve applied for. 
Thanks again for your interest and we wish you luck in your search.

Best,
The PlayStation Early Career Talent Team"
Adobe,"Thank you for applying to the R131693 2023 Intern - Experience Design position. 
We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Adobe,"Thank you for applying to the R134269 2023 Intern - UI/UX Designer position. 
We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Adobe,"Thank you for applying to the R131692 2023 Intern - Experience Design, Digital Video & Audio position. 
We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Adobe,"Thank you for applying to the R133864 2023 Intern - UX Design position. 
We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Centene,"Thank you for your application and interest in the User Experience Designer Intern - 1359994 at Centene. Unfortunately, after thoughtful review of your application and the needs of the hiring team, your application was not selected to move forward in the process.
We understand this can be disappointing. However, we will keep your information on file for future opportunities and encourage you to sign up for job alerts through Centene’s careers site. As you explore career opportunities, we know you have many options from which to choose. Thank you for considering Centene as one of them.
Our team wishes you all the best in your job search.

Regards,
Centene Talent Attraction"
P&G,"Thank you for applying to STEM: BOLD LEADERS Scholarship & Internship .
We have reviewed your qualifications and, unfortunately, we will not be able to process your application further.
This decision is only valid for the above-mentioned position; you can still apply for other P&G jobs that might fit you better! Visit our career website to find more opportunities. We would also encourage you to join our Talent Community here so that you can stay up to date on all things P&G (news, events, job alerts, etc.)
Thank you again for considering P&G, and we wish you luck with your future career search.

Best regards,
P&G Careers"
P&G,"Thank you for applying to Brand Management Internship (2024 Graduates - Bachelor’s/Master’s - Non MBA) .
We have reviewed your qualifications and, unfortunately, we will not be able to process your application further.
This decision is only valid for the above-mentioned position; you can still apply for other P&G jobs that might fit you better! Visit our career website to find more opportunities. We would also encourage you to join our Talent Community here so that you can stay up to date on all things P&G (news, events, job alerts, etc.)
Thank you again for considering P&G, and we wish you luck with your future career search.

Best regards,
P&G Careers"
PlayStation,"Thank you so much for your interest in interning at PlayStation. We sincerely appreciate you taking the time to apply. Unfortunately, the team has decided not to proceed with your candidacy for the Game Design Intern position this summer.
Although this particular position was not a match, please consider applying for future internship opportunities that are posted on our careers website. 
If you have applied to multiple positions at PlayStation, please note that you may receive a separate update for each position that you’ve applied for. 
Thanks again for your interest and we wish you luck in your search.

Best,
The PlayStation Early Career Talent Team"
Adobe,"Thank you for applying to the 2023 Intern - Experience Design position. 
We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Avanade,"Thank you for your interest in Avanade and for taking the time to apply to the position of Intern, Visual Design - Summer 2023 (Boston & Philadelphia).

Based on the information you provided, unfortunately we will not be progressing with your application.
Please note, this message only applies to the position of Intern, Visual Design - Summer 2023 (Boston & Philadelphia). If you have applied for other roles, you may still be in consideration.
As new opportunities are frequently posted, we would encourage you to continue your search on our Avanade Careers site  and set up relevant alerts.
We wish you the very best in your ongoing career search.

Kind regards,
Avanade Talent Acquisition Team"
Adobe,"Thank you for applying to the 2023 Intern - Experience Design, Digital Video & Audio position. 

We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
Adobe,"Thank you for applying to the 2023 Intern - Motion Designer position. 

We have carefully reviewed your application. Unfortunately, we’ve decided to move forward with other candidates for this role. While it didn’t work out this time, we encourage you to continue visiting our career site and explore other opportunities at Adobe.
Thank you again for your interest and best wishes in your job search.

Best Regards,
Adobe Talent Acquisition Team"
GE,"Thank you for applying to our GE Digital - Summer 2023 Internship Program role. 

We appreciate your patience.
Unfortunately, our team did not select you for this role. Competition for jobs at GE is strong and we often make difficult choices between many great candidates.
We would like to encourage you to keep an eye out for other opportunities at GE that interest you. We encourage you to join our Talent Community to receive up-to-the-minute job openings tailored just for you by clicking on this link.

Kind regards,
GE Talent Acquisition Team"
GE,"Thank you for applying to our GE Digital Intern role. 

We appreciate your patience.
Unfortunately, our team did not select you for this role. Competition for jobs at GE is strong and we often make difficult choices between many great candidates.
We would like to encourage you to keep an eye out for other opportunities at GE that interest you. We encourage you to join our Talent Community to receive up-to-the-minute job openings tailored just for you by clicking on this link.

Kind regards,
GE Talent Acquisition Team"
Sony,"Thank you for your interest in this role. Unfortunately, your application has been unsuccessful this time.
That's not to say our journey together is over! You can keep up to date with our Careers Page and LinkedIn, and if you see a role that matches your ambitions and skillset, we would love to hear from you again!

Sincerely,
Talent & Resourcing Team"
Ralph Lauren,"Thank you for your interest in Ralph Lauren! 
Unfortunately we will not be moving forward with your candidacy for the 2023 Inspire Internship Program this year.
Although this is not ideal news, we are always looking to match opportunities with top talent. We recommend staying up to date with our External Careers website for full-time opportunities near your graduation date.
We wish you the best of luck in your upcoming semester, and in your career journey!

Sincerely,
Ralph Lauren Early Careers Team "
